id	concatena	primo_cognome	secondo_cognome	terzo_cognome	primo_nome	secondo_nome	terzo_nome	sesso	luogo_di_nascita	data_di_nascita	luogo_di_morte	data_di_morte	facolta	corso	insegnamenti	inizio_carriera_accademica	fine_carriera_accademica	biografia	ambiti_di_ricerca	carriera_extra_acc	riferimenti_bibliografici	riferimenti_archivistici	docente	rettore	inizio_mandato	fine_mandato	docente_illustre	laureato_ad_honorem	prima_donna_docente	autore	revisore
1	PalaSalvatore	Pala			Salvatore			M					Filosofia e Arti; Teologia		Matematica	1626	1632	Salvatore Pala (nato 1571? / 1578) fu il primo lettore di Matematica dell'Università di Cagliari dall’anno accademico 1626-27 fino, presumibilmente, al 1631-32. Il Pala fu anche professore di Teologia, nonché qualificatore del Sant’Uffizio. Gli succedette padre Stephano NatteRegia MUORE NEL 1638.	"Il Pala scrisse il ""Trattato di alcune scienze matematiche"", manoscritto autografo del 1628 in 4°. Contiene tre libri, oltre ad un Albero di tutte le matematiche, che si dividono in più di 42 scienze. Scrisse anche un libro dell'astronomia gnomica, ossia dell'arte di fare gli orologi solari; la Dichiarazione sopra i quattro libri della Meteora d'Aristotile, in spagnolo; il trattato De arte metiendi, sive geometria pratica."		Roberto Scoth, Gli insegnamenti matematici e fisici nell'università di Cagliari, (1764-1848) p. 310. Giovanni Siotto Pintor, Storia letteraria di Sardegna, I, Cagliari, 1843-44, rist. anast., Bologna, Forni, 1966, p. 253. Consultare CARLOS SOMMERVOGEL, Bibliothèque de la Compagnie de Jésus, VI, Bruxelles-Paris, 1890, p. 98; EDOARDO TODA Y GÜELL, Bibliografia Española de Cerdeña, Madrid, Tip. de los huérfanos, 1840, p. 250		sì	no			sì	no	no	Laura Cogoni; Eleonora Todde	Eleonora Todde
2	NatterStefano	Natter			Stefano			M					Filosofia e Arti		Matematica			Nato nel 1599,  padre Stefano Natter, gesuita, succedette a padre Pala come lettore di Matematica dall’anno accademico 1632-33 al 1633-34 e dal 1639-40 al 1672-73.	Scrisse In geographiam lucubrationes a patre Stephano Natter sardo calaritano Societatis Jesu in Universitate calaritana mathematicarum professore, Manoscritto autografo del 1634. Titolo presente: Lucubrationum geographicarum tractatus		"Roberto Scoth, Gli insegnamenti matematici e fisici nell'università di Cagliari, (1764-1848) p. 310. MANUS: Cagliari, Biblioteca universitaria di Cagliari, Manoscritti, ms. 153
 "		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
3	MelisGiovanniDomenico	Melis			Giovanni	Domenico		M					Filosofia e Arti		Filosofia aristotelica			Juan Domingo Melis, frate minore conventuale di San Francesco, fu lettore di Logica a Pisa dal 1585 al 1588. I professori sardi dell’ateneo pisano figuravano spesso come ‘padrini’ dei connazionali candidati, e Juan Domingo Melis fu promotore di undici laureandi in teologia, tra i quali i cagliaritani Monserrat Ravena, Angel Tristan, Pedro Pablo Bichisach e Sebastián Molayra di Villanovafranca. Gli fu poi affidata la nuova cattedra di Filosofia aristotelica dell'Università di Cagliari. 			Giuseppe Seche, Vicende e Letture di studenti universitari del XVI secolo.Studenti sardi nell’Università di Pisa. Da consultare: Barsanti, I docenti e le cattedre dal 1543 al 1737, in Storia dell'Università di Pisa, pp. 525 e 564; Davies, Culture and Power, p. 197 e pp. 263-267.		sì	no			sì	no	no	Laura Cogoni; Eleonora Todde	Eleonora Todde
4	Mancadel PradoFrancesco	Manca	del Prado		Francesco			M	Alghero				Teologia		Teologia			Francesco Manca fu un frate domenicano, scrittore di filosofia, che visse nel secolo XVII. Nacque in Alghero negli ultimi anni del secolo precedente da poveri ed oscuri parenti, e vestì l'abito dei frati predicatori nella città di Cagliari. Terminato il corso dei suoi studi, andò in Spagna, dove insegnò la filosofia nell'insigne collegio di S. Domenico d'Orihuela; quindi ritornò a Cagliari. Fu cattedratico di teologia in quella Regia università, vicario generale della provincia domenicana negli anni 1624-25, e poi reggente degli studi del suo ordine in Sardegna. Dopo questa reggenza passò a quella degli studi generali del convento di S. Maria d'Arco e del collegio di S. Tommaso di Napoli, e infine al collegio di S. Girolamo di Messina. A Messina compose molti volumi di filosofia e di teologia scolastica: ma sopraggiunto dalla morte non potette darli tutti alla luce, e ci rimase soltanto edito il primo tomo, che fu stampato col seguente titolo: Aristotelis philosophiae selecta expositio thomistica, quaestionibus et dubiis illustrata. (Messina, 1656, un vol. in-fol.).	Aristotelis philosophiae selecta expositio thomistica, quaestionibus et dubiis illustrata. (Messina, 1656, un vol. in-fol.).		P. TOLA, Dizionario biografico degli uomini illustri, pp. 212-213		sì	no			sì	no	no	Laura Cogoni; Eleonora Todde	Eleonora Todde
5	MostallinoSalvatore	Mostallino			Salvatore			M					Medicina					Maestro di Medicina		protomedico del Regno, donò il terreno sul quale fu costruita le chiesa di santa restituta			sì	no			sì	no	no	Laura Cogoni; Mariangela Rapetti; Eleonora Todde	Eleonora Todde
6	GalcerinoAntonio	Galcerino			Antonio			M					Medicina							protomedico del Regno, tipografo			sì	no			sì	no	no	Laura Cogoni; Mariangela Rapetti; Eleonora Todde	Eleonora Todde
7	CarniçerGiovanni	Carniçer			Giovanni			M					Giurisprudenza		Jus civile I			La prima e più importante cattedra di Istituzioni dell'università di Cagliari appena fondata fu affidata al dottor Giovanni Carnicer con titolo di primario e decano dell’Università. Il Carnicer fu dottore in Diritto, ed esercitò l’avvocatura. Fu segretario della città di Cagliari alla morte del padre Bartolomeo. Nel 1614 partecipò al Parlamento de Gandia come procuratore del marchese di Quirra. Nel 1622 fu assessore al Patrimonio e nel 1629 Consigliere Civico in Capo a Cagliari. Strenuo difensore dei diritti dell’arcivescovo di Cagliari sul Primariato di Sardegna e Corsica, scrisse un’operetta intitolata “Breve discurso del primado de Cerdeña y Corsega en favor dell’arçobispo de Caller”(Madrid 1616), dedicata a don Giovanni Battista Zatrillas, conte di Cuglieri. Il 19 dicembre 1623 fu presente all’invenzione del corpo di San Lucifero. Nel 1631 divenne sindaco della città di Cagliari al Parlamento de Bayona concluso da don Gaspare Prieto. Il 7 marzo 1632 partecipò nello Stamento Reale al giuramento che i nobili fecero in favore dell’Immacolata Concezione. L’8 febbraio 1615 aveva sposato Violante Escorça y Mirò, figlia di Giovanni Escorça e della sua seconda moglie Giovanna Mirò. Alle nozze fecero da testimoni don Antioco Barbaran e Giacomo Ortolà. Giovanni Carniçer morì il 16 giugno 1632 o il 7 novembre 1636.		Avvocato, consigliere capo della città	P. TOLA, Dizionario biografico degli uomini illustri, p. 183 ; araldicasardegna.org 		sì	no			sì	no	no	Laura Cogoni; Eleonora Todde	Eleonora Todde
8	TandaGiovanniMaria	Tanda			Giovanni	Maria		M				1648-12-03	Giurisprudenza		Jus civile II			Juan Maria Tanda fu distinto giurista del secolo XVII, del quale abbiamo molte consultazioni legali scritte in latino ed in spagnolo. Nove di queste Allegazioni, alcune delle quali hanno la data del 1629 e del 1639, sono inserite nella così detta raccolta dell'Aleo. Dalle medesime si ricava che egli era anche laureato in teologia, e che nel suddetto anno 1639 occupava in Cagliari il posto di assessore del regio patrimonio. Giovanni Maria Tanda sposò Marchesa Guerau y Pitzolo, figlia di Battista Garau e di Monserrata Pitzolo, che morì il 16 settembre 1622, ebbe ufficio canonicale dal canonico Giacomo Escarxoni e fu sepolta in San Francesco. Il 10 settembre 1623 il Tanda si risposò con Paola Garçet, vedova di Michele Piludu e figlia di Melchiorre Garçet e di Michela Aragoni. Le nozze, celebrate in duomo, ebbero per testimoni Bonifacio Capay e Giacomo Dessì. L’alleanza con i Garçet favorì la carriera del Tanda, che nel 1628 divenne assessore alla Procuratoria Reale, nel 1629 fu Consigliere Civico in 2ª e nel 1637 Consigliere Capo a Cagliari. Nel 1645 era avvocato fiscale patrimoniale e, infine, terminò la sua carriera come giudice del Patrimonio alla Reale Udienza. Morì il 3 dicembre 1648 e fu sepolto nella chiesa di Santa Chiara. Fu professore della seconda cattedra di Leggi dell'Università di Cagliari.		avvocato, assessore alla Procuratoria Reale, nel 1629 fu consigliere civico in 2ª e nel 1637 consigliere capo a Cagliari. Nel 1645 era avvocato fiscale patrimoniale e, infine, terminò la sua carriera come giudice del Patrimonio alla Reale Udienza. 	P. TOLA, Dizionario biografico degli uomini illustri, p. 248. araldicasardegna.org		sì	no			sì	no	no	Laura Cogoni; Eleonora Todde	Eleonora Todde
9	MelisSalvatore	Melis			Salvatore			M	Iglesias				Teologia		Teorie di Scoto 			Salvador Melis fu un religioso francescano, nativo di Iglesias, il quale fiorì nel secolo XVII. Occupò nel suo ordine i posti più onorifici, ed oltre all'essere stato provinciale dei minori conventuali in Sardegna, fu anche visitatore generale dello stesso ordine suo in Germania. Fu maestro di Scoto nella Regia  Università di Cagliari, e godette della stima e della protezione di Ambrogio Machin, prelato famoso per la dottrina e per le opere date alla luce. Abbiamo di lui un opuscolo intitolato Tractatus de vera sanctitate S. Luciferi.			P. TOLA, Dizionario biografico degli uomini illustri, pp. 212-213.		sì	no			sì	no	no	Laura Cogoni; Eleonora Todde	Eleonora Todde
10	AdzorySalvador	Adzory			Salvador			M										cattedratico dell'Università di Cagliari				ASCa, vol. 407 bis, fasc. 4, n.16.1 (XXXV)	sì	no			no	no	no	Laura Cogoni	Eleonora Todde
